match_id,format,maps_played,team1,team2,team1_score,team2_score,winner,looser,team1_ban1,team2_ban1,team1_pick1,team2_pick1,team1_ban2,team2_ban2,team1_pick2,team2_pick2,decider
378662,Bo3,2,Sentinels,Gen.G,2,0,Gen.G,Sentinels,Icebox,Sunset,Haven,Ascent,Bind,Lotus,Not Valid for Bo3,Not Valid for Bo3,Abyss
378663,Bo3,3,FunPlus Phoenix,Team Heretics,1,2,Team Heretics,FunPlus Phoenix,Sunset,Icebox,Abyss,Bind,Ascent,Haven,Not Valid for Bo3,Not Valid for Bo3,Lotus
378657,Bo3,3,KRÜ Esports,DRX,2,1,DRX,KRÜ Esports,Icebox,Lotus,Haven,Abyss,Ascent,Sunset,Not Valid for Bo3,Not Valid for Bo3,Bind
378656,Bo3,2,Bilibili Gaming,FNATIC,2,0,FNATIC,Bilibili Gaming,Haven,Sunset,Bind,Lotus,Abyss,Icebox,Not Valid for Bo3,Not Valid for Bo3,Ascent
378667,Bo3,2,TALON,LEVIATÁN,2,0,LEVIATÁN,TALON,Icebox,Lotus,Bind,Ascent,Haven,Abyss,Not Valid for Bo3,Not Valid for Bo3,Sunset
378669,Bo3,3,Trace Esports,Team Vitality,1,2,Trace Esports,Team Vitality,Icebox,Lotus,Ascent,Sunset,Abyss,Haven,Not Valid for Bo3,Not Valid for Bo3,Bind
378674,Bo3,2,Paper Rex,G2 Esports,2,0,G2 Esports,Paper Rex,Ascent,Sunset,Icebox,Lotus,Haven,Abyss,Not Valid for Bo3,Not Valid for Bo3,Bind
378673,Bo3,2,FUT Esports,EDward Gaming,2,0,EDward Gaming,FUT Esports,Haven,Ascent,Lotus,Bind,Abyss,Icebox,Not Valid for Bo3,Not Valid for Bo3,Sunset
378664,Bo3,3,Team Heretics,Gen.G,1,2,Team Heretics,Gen.G,Ascent,Sunset,Abyss,Lotus,Icebox,Haven,Not Valid for Bo3,Not Valid for Bo3,Bind
378658,Bo3,2,DRX,FNATIC,0,2,DRX,FNATIC,Haven,Icebox,Abyss,Lotus,Ascent,Sunset,Not Valid for Bo3,Not Valid for Bo3,Bind
378670,Bo3,3,Trace Esports,LEVIATÁN,1,2,Trace Esports,LEVIATÁN,Icebox,Lotus,Bind,Sunset,Haven,Abyss,Not Valid for Bo3,Not Valid for Bo3,Ascent
