,player,player_name,team,player_id,agents_count,agents,rounds,rating,acs,kd_ratio,kast,adr,kpr,apr,fkpr,fdpr,hs_percent,cl_percent,k_max,kills,deaths,assists,first_kills,first_deaths,kills_per_round,assist_per_rd,composite_score
0,trexx,trexx,VIT,2168,2,"['Sova', 'Fade']",151,1.23,228.0,1.24,72.0,155.0,0.81,0.34,0.09,0.07,23.0,14.0,26,123,99,52,13,10,0.81,0.34,61.2
1,Derke,Derke,FNC,5022,2,"['Raze', 'Yoru']",293,1.22,257.4,1.33,72.0,167.0,0.92,0.18,0.17,0.14,24.0,27.0,30,269,202,54,51,42,0.92,0.18,114.33
2,primmie,primmie,TLN,25255,4,"['Yoru', 'Sage', 'Clove', 'Raze']",85,1.22,243.0,1.32,74.0,152.4,0.88,0.27,0.08,0.06,37.0,13.0,22,75,57,23,7,5,0.88,0.27,45.1
3,Chronicle,Chronicle,FNC,458,2,"['Viper', 'Sova']",293,1.21,224.4,1.23,73.0,153.8,0.77,0.29,0.13,0.07,26.0,12.0,25,227,185,84,38,21,0.77,0.29,96.71
4,keznit,keznit,KRÜ,2462,4,"['Neon', 'Omen', 'Raze', 'Jett']",156,1.18,250.8,1.16,76.0,170.7,0.83,0.33,0.14,0.08,23.0,13.0,22,130,112,51,22,13,0.83,0.33,68.95
5,CHICHOO,CHICHOO,EDG,15559,5,"['Omen', 'Viper', 'Killjoy', 'Cypher', 'Astra']",449,1.18,221.5,1.24,76.0,144.5,0.79,0.29,0.11,0.06,29.0,16.0,27,353,284,129,50,26,0.79,0.29,132.47
6,Meteor,Meteor,GEN,13039,3,"['Killjoy', 'Yoru', 'Cypher']",153,1.17,241.1,1.32,71.0,160.7,0.9,0.17,0.11,0.1,37.0,16.0,28,137,104,26,17,16,0.9,0.17,66.88
7,RieNs,RieNs,TH,10971,3,"['Sova', 'Gekko', 'Viper']",552,1.15,214.2,1.17,75.0,145.0,0.76,0.29,0.09,0.09,38.0,22.0,28,419,359,158,48,50,0.76,0.29,158.09
8,Smoggy,Smoggy,EDG,4742,4,"['Clove', 'Brimstone', 'Viper', 'Omen']",449,1.14,213.1,1.21,76.0,133.8,0.76,0.37,0.06,0.06,28.0,15.0,23,340,281,165,29,28,0.76,0.37,124.68
9,t3xture,t3xture,GEN,9196,2,"['Jett', 'Raze']",153,1.14,242.6,1.17,69.0,157.2,0.84,0.18,0.18,0.14,25.0,19.0,24,128,109,27,28,21,0.84,0.18,68.96
